samples,r.squared,distinct,points,removed,final,remaining
S19S_0003_Sed_Field_ICR-M_p15,0.790333360185689,134,137,33,104,0.759124087591241
S19S_0004_Sed_Field_ICR-D_p15,0.828781610968222,140,143,29,114,0.797202797202797
S19S_0004_Sed_Field_ICR-U_p15,0.802845248645674,156,159,43,116,0.729559748427673
S19S_0007_Sed_Field_ICR-D_p15,0.767018861327094,136,141,41,100,0.709219858156028
S19S_0008_Sed_Field_ICR-U_p15,0.845489994273068,143,149,37,112,0.751677852348993
S19S_0024_Sed_Field_ICR-U_p15,0.853842635908916,93,98,21,77,0.785714285714286
S19S_0030_Sed_Field_ICR-M_p15,0.832648791438691,147,153,49,104,0.679738562091503
S19S_0033_Sed_Field_ICR-D_p15,0.777630849130114,135,137,50,87,0.635036496350365
S19S_0037_Sed_Field_ICR-M_p15,0.367931157895936,50,51,15,36,0.705882352941177
S19S_0045_Sed-Field_ICR-M_p2,0.622996992295928,50,52,40,12,0.230769230769231
S19S_0046_ICR-1_p05,0.000736380579412499,52,52,4,48,0.923076923076923
S19S_0046_ICR-2_p05,0.159177572785697,65,65,7,58,0.892307692307692
S19S_0046_ICR-3_p05,0.0216689010249858,50,50,3,47,0.94
S19S_0046_Sed_Field_ICR-M_p1,0.892050325944099,99,99,16,83,0.838383838383838
S19S_0047_Sed_Field_ICR-M_p15,0.125334662585937,33,34,17,17,0.5
S19S_0047_Sed_Field_ICR-U_p15,0.733489173446726,163,166,49,117,0.704819277108434
S19S_0051_Sed_Field_ICR-D_p15,0.419981617534982,99,100,30,70,0.7
S19S_0063_Sed_Field_ICR-D_p15,0.870390092856776,136,138,34,104,0.753623188405797
S19S_0085_Sed_Field_ICR-U_p15,0.822118330894927,147,150,32,118,0.786666666666667
S19S_0087_Sed_Field_ICR-D_p15,0.822741199398903,120,122,29,93,0.762295081967213
S19S_0087_Sed_Field_ICR-M_p15,0.922651958173167,32,32,21,11,0.34375
S19S_0096_Sed_Field_ICR-U_p15,0.647797981773858,98,103,36,67,0.650485436893204
